iter	RMSE
0	41837.11302
1	41788.22997
2	41749.01506
3	41709.27284
4	41669.42652
5	41636.06162
6	41594.14039
7	41556.32555
8	41514.79184
9	41479.29571
10	41438.11294
11	41398.21586
12	41354.91639
13	41321.48646
14	41282.59588
15	41242.14078
16	41201.01127
17	41164.23835
18	41130.42001
19	41095.33008
20	41059.53151
21	41027.3991
22	40991.74856
23	40949.78494
24	40914.25232
25	40878.61823
26	40841.87927
27	40808.84761
28	40774.62418
29	40738.12371
30	40707.39121
31	40672.03017
32	40638.10114
33	40611.17218
34	40586.08095
35	40556.58364
36	40524.11116
37	40492.49072
38	40461.90669
39	40429.75191
40	40403.41657
41	40375.37495
42	40350.74176
43	40322.49145
44	40299.43021
45	40267.07983
46	40241.12457
47	40221.09754
48	40195.98695
49	40169.03706
50	40144.38975
51	40120.18257
52	40098.18887
53	40077.91261
54	40053.26684
55	40034.11382
56	40009.87032
57	39992.0937
58	39970.19457
59	39944.23125
60	39920.24206
61	39897.27302
62	39874.75564
63	39858.71527
64	39845.16081
65	39825.79331
66	39807.62624
67	39786.97348
68	39768.88479
69	39749.32737
70	39725.42341
71	39706.83208
72	39687.06474
73	39668.86131
74	39647.04407
75	39625.30162
76	39608.66024
77	39585.92598
78	39566.91939
79	39554.31302
80	39531.79121
81	39509.65692
82	39487.44052
83	39469.92673
84	39451.67388
85	39435.96085
86	39417.57478
87	39398.14986
88	39382.98467
89	39361.42521
90	39342.31274
91	39323.29289
92	39302.38873
93	39288.74723
94	39272.9042
95	39258.37455
96	39241.23335
97	39225.01216
98	39207.83902
99	39191.15183
100	39171.83067
101	39164.17759
102	39150.32573
103	39132.55483
104	39117.49927
105	39100.65111
106	39084.76541
107	39063.72128
108	39047.65744
109	39031.35313
110	39017.66516
111	39007.8424
112	38991.91586
113	38977.86308
114	38964.81892
115	38952.50815
116	38939.40889
117	38923.46116
118	38909.87837
119	38899.80819
120	38887.64485
121	38873.01009
122	38863.72454
123	38848.95033
124	38839.72299
125	38826.14133
126	38812.62605
127	38800.69462
128	38783.47877
129	38771.07733
130	38756.51911
131	38741.96625
132	38729.50319
133	38714.53263
134	38704.44649
135	38696.025
136	38686.61824
137	38672.67166
138	38657.73483
139	38647.21871
140	38634.21751
141	38618.84967
142	38609.73101
143	38599.12192
144	38588.26343
145	38576.79209
146	38562.69409
147	38549.40533
148	38541.20654
149	38530.68399
150	38519.97347
151	38506.09448
152	38497.07921
153	38484.07014
154	38472.31045
155	38461.88748
156	38451.5855
157	38437.89398
158	38428.48739
159	38418.96968
160	38407.68174
161	38397.43196
162	38387.72046
163	38375.62703
164	38362.65517
165	38348.14947
166	38341.45746
167	38331.08651
168	38321.36079
169	38312.67385
170	38301.93808
171	38290.66898
172	38280.84232
173	38272.6789
174	38260.82183
175	38255.1119
176	38241.90004
177	38236.45768
178	38223.40056
179	38215.8274
180	38208.46151
181	38200.14436
182	38190.94687
183	38182.1801
184	38173.47105
185	38162.69711
186	38149.09012
187	38139.68585
188	38129.99162
189	38122.12381
190	38110.51187
191	38099.13481
192	38089.15971
193	38080.09978
194	38073.67418
195	38065.17648
196	38054.42726
197	38044.9176
198	38034.99994
199	38022.32181
