iter	Passed	Remaining
0	52	10409
1	53	5331
2	56	3739
3	61	3010
4	63	2461
5	65	2116
6	68	1877
7	69	1678
8	72	1537
9	74	1424
10	77	1329
11	78	1236
12	80	1158
13	82	1095
14	84	1037
15	85	985
16	86	935
17	89	907
18	92	879
19	94	854
20	96	824
21	98	797
22	100	772
23	102	748
24	103	723
25	104	699
26	106	680
27	109	669
28	110	650
29	111	633
30	112	615
31	114	599
32	116	588
33	117	576
34	119	563
35	120	550
36	122	538
37	127	542
38	128	531
39	130	522
40	133	518
41	135	511
42	137	500
43	138	490
44	139	481
45	141	472
46	143	466
47	145	460
48	146	451
49	147	443
50	149	435
51	151	430
52	152	423
53	153	416
54	155	409
55	156	402
56	157	396
57	159	390
58	160	384
59	162	380
60	164	374
61	165	368
62	166	363
63	168	358
64	170	353
65	171	348
66	173	345
67	175	339
68	177	337
69	180	336
70	183	334
71	186	331
72	187	326
73	189	321
74	190	316
75	191	312
76	192	307
77	194	303
78	195	299
79	196	295
80	198	291
81	199	287
82	200	283
83	202	279
84	205	277
85	206	274
86	208	270
87	209	266
88	211	264
89	213	261
90	215	258
91	216	254
92	218	250
93	219	247
94	220	244
95	222	241
96	224	238
97	225	235
98	227	231
99	230	230
100	232	227
101	233	224
102	234	220
103	235	217
104	237	214
105	238	211
106	240	208
107	241	205
108	242	202
109	243	199
110	245	197
111	247	194
112	249	192
113	251	189
114	252	186
115	253	183
116	255	181
117	256	178
118	258	176
119	259	173
120	260	170
121	262	167
122	265	165
123	267	164
124	269	161
125	270	158
126	272	156
127	273	154
128	275	151
129	277	149
130	278	146
131	281	144
132	282	142
133	283	139
134	285	137
135	286	134
136	287	132
137	289	130
138	292	128
139	295	126
140	296	123
141	298	121
142	299	119
143	301	117
144	302	114
145	303	112
146	304	109
147	307	107
148	308	105
149	310	103
150	311	101
151	312	98
152	315	96
153	316	94
154	318	92
155	320	90
156	321	88
157	323	86
158	325	83
159	326	81
160	327	79
161	329	77
162	330	75
163	331	72
164	333	70
165	335	68
166	336	66
167	338	64
168	339	62
169	341	60
170	342	58
171	344	56
172	345	53
173	347	51
174	350	50
175	352	48
176	353	45
177	354	43
178	356	41
179	359	39
180	361	37
181	362	35
182	364	33
183	365	31
184	367	29
185	371	27
186	372	25
187	375	23
188	376	21
189	378	19
190	380	17
191	381	15
192	385	13
193	387	11
194	389	9
195	390	7
196	391	5
197	393	3
198	394	1
199	396	0
